route_id,route_short_name,route_long_name,trip_headsign
6723,402,Two Road/Brighouse Station,"['402 Brighouse Station', '402 Two Road']"
6724,403,Bridgeport Station/Three Road,"['403 Bridgeport Station', '403 Three Road', '403 To Five Rd']"
6725,404,Four Road/Brighouse Station,"['404 Brighouse Station', '404 Four Road', '404 Steveston & 5 Rd']"
6726,405,Five Road/Cambie,"['405 Cambie', '405 Five Road', '405 Five Road via Vulcan', '405 Brighouse Station', '405 Cambie via Vulcan']"
6727,407,Gilbert/Bridgeport,"['407 Bridgeport via Vulcan', '407 Bridgeport', '407 Lansdowne Station', '407 Gilbert', '407 Gilbert via Vulcan']"
6728,410,Richmond-Brighouse Station/22nd St Station,"['410 22nd St Station', '410 22nd St Station via Fraserwood', '410 To Boundary Rd', '410 Brighouse Station', '410 Brighouse Station via Fraserwood']"
6730,430,Metrotown/Brighouse Station,"['430 Metrotown Station', '430 Brighouse Station']"
6737,501,Langley Centre/Surrey Central Station,"['501 Langley Centre', '501 Langley Centre via 202A St', '501 Surrey Central Station', '1844 501 Surrey Central Station via 202A St']"
6738,502,Langley Centre/Surrey Central Station,"['502 Langley Centre', '502 Surrey Central Station']"
6739,509,Walnut Grove/Surrey Central Station,"['509 Walnut Grove', '562 Langley Centre', '509 Carvolth Exchange', '509 Surrey Central Station', '562 Walnut Grove']"
6741,601,South Delta/Boundary Bay/Bridgeport,"['601 Boundary Bay', '601 South Delta', '601 South Delta Exchange', '602 Tsawwassen Heights', '601 Bridgeport Station', '601 Ladner Exchange', '602 To Steveston Hwy']"
6742,602,Tsawwassen Heights/Bridgeport,"['602 Tsawwassen Heights', '602 Bridgeport Station']"
6743,603,Beach Grove/Bridgeport,"['603 South Delta Exchange', '603 Beach Grove', '603 Bridgeport Station']"
6744,604,English Bluff/Bridgeport,"['604 English Bluff', '604 South Delta Exchange', '604 Bridgeport Station']"
6745,606,Ladner Ring,['606 Ladner Ring']
6746,608,Ladner Ring,['608 Ladner Ring']
6747,620,Tsawwassen Ferry/Bridgeport Station,"['620 Bridgeport Express', '620 Tsawwassen Ferry Express']"
6748,640,Ladner Exchange/Scott Road Station,"['640 Ladner Exchange via Industrial', '640 Ladner Exchange', '640 Scott Rd Station via Industrial', '640 Scott Rd Station', '640 Tilbury']"
6749,701,Haney/Maple Ridge East/Coquitlam Station,"['701 Maple Ridge East', '701 Haney Place', '701 Mission City Station', '701 Maple Ridge E via Samuel Robertson', '701 Coquitlam Central Station']"
6754,855,Elgin Park School Special,['Special']
6761,880,Windsor School Specials,['Special']
6762,881,Carson Graham School Specials,['Special']
6776,131,Hastings @ Gilmore/Kootenay Loop,"['131 Kootenay Loop', '131 Hastings @ Gilmore']"
6777,280,Bluewater/Snug Cove,"['280 Snug Cove', '280 Bluewater']"
6778,281,Eagle Cliff/Snug Cove,"['281 Eaglecliff', '281 Snug Cove']"
6779,262,Lions Bay/Caulfeild,"['262 Lions Bay- Brunswick', '262 Horseshoe Bay', '262 Caulfeild']"
6780,215,Indian River/Phibbs Exchange,"['215 Indian River', '215 Phibbs Exchange']"
6790,103,New Westminster Station/Quayside,"['103 Quayside', '103 New West Station']"
6796,105,Uptown/New Westminster Station,"['105 Uptown', '105 New West Station']"
6799,743,Haney Place/Maple Meadows Station/Meadowtown,"['743 Haney Place', '743 Meadowtown', '743 South Haney']"
6800,744,Haney Place/Maple Meadows Station/Meadowtown,"['744 Haney Place', '744 Meadowtown']"
6804,748,Thornhill/Haney Place,"['748 Haney Place', '748 Thornhill']"
6805,749,Ruskin/Haney Place,"['749 Haney Place', '749 Ruskin']"
6806,148,Royal Oak Station/Edmonds Station,"['148 Edmonds Station', '148 Royal Oak Station']"
6811,146,Metrotown Station/Suncrest,"['146 Metrotown Station', '146 Suncrest']"
6814,562,Langley Centre/Walnut Grove,"['562 Langley Centre via TWU', '562 Langley Centre', '562 Walnut Grove via TWU', '562 Walnut Grove']"
6815,563,Langley Centre/Fernridge,"['563 Langley Centre', '563 Fernridge']"
6816,564,Langley Centre/Willowbrook,"['564 Langley Centre', '564 Willowbrook']"
6817,147,Metrotown Station/Edmonds Station,"['147 Metrotown Station', '147 Edmonds Station']"
6818,371,Surrey Central/Scott Rd Station,"['371 Scott Rd Station', '371 Surrey Central Station']"
6819,373,Guildford/Surrey Central Station,"['373 Guildford', '373 Surrey Central Station', '373 To Kindersley Dr']"
6821,322,Newton Exchange/Scottsdale,"['322 Newton Exchange', '322 Scottsdale']"
6822,310,Scottsdale/Ladner,"['310 Ladner via Delta View', '310 Ladner', '310 Scottsdale via Delta View', '310 Scottsdale']"
6823,616,Ladner South/Ladner Exchange,"['616 Ladner South', '616 Ladner Exchange']"
6825,618,Ladner North/Ladner Exchange,"['618 Ladner Exchange', '618 Ladner North']"
6827,412,Bridgeport Station/Sea Island South,"['412 Bridgeport Station', '412 Sea Island South']"
6828,413,Riverport/Steveston,"['413 Riverport', 'Special', '413 Steveston']"
6829,416,East Cambie/Brighouse Station,"['416 East Cambie', '416 Brighouse Station']"
6830,N10,Downtown/Richmond NightBus,"['N10 Downtown NightBus', 'N10 Granville To 71', 'N10 Downtown via YVR NightBus', 'N10 Brighouse Station', 'N10 Brighouse Station via YVR']"
6831,N15,Downtown/Cambie NightBus,"['N15 Cambie NightBus', 'N15 Downtown NightBus']"
6833,N17,Downtown/UBC NightBus,"['N17 UBC NightBus', 'N17 Downtown NightBus']"
6834,N19,Downtown/Surrey Central Station NightBus,"['N19 Surrey Central Station NightBus', 'N19 New West Station', 'N19 Downtown NightBus']"
6835,N20,Downtown/Victoria NightBus,"['N20 Victoria NightBus', 'N20 Downtown NightBus']"
6836,N22,Downtown/Macdonald NightBus,"['N22 Macdonald', 'N22 Downtown NightBus']"
6837,N24,Downtown/Lynn Valley NightBus,"['N24 Lynn Valley NightBus', 'N24 Downtown NightBus', 'N24 Lonsdale Quay NightBus']"
6838,N35,Downtown/SFU NightBus,"['N35 SFU NightBus', 'N35 Downtown NightBus']"
6840,N8,Downtown/Fraser NightBus,"['N8 Fraser NightBus', 'N8 Downtown NightBus']"
6841,N9,Downtown/Lougheed Station/Coquitlam Central Station,"['N9 Downtown', 'N9 Coquitlam Central Station']"
6843,614,English Bluff/South Delta Exchange,"['614 English Bluff', '614 South Delta Exchange']"
6844,619,Boundary Bay/South Delta Recreation Centre,"['619 Boundary Bay', '619 South Delta Exchange']"
7224,791,Haney Place/Braid Station,"['791 Haney Place', '791 Braid Station']"
7321,375,White Rock/White Rock South/Guildford,"['375 152 Street/To White Rock South', '375 152 Street/To Guildford']"
7322,132,Capitol Hill/Hastings @ Gilmore,"['132 Capitol Hill', '132 Hastings @ Gilmore']"
8286,370,Cloverdale/Willowbrook,"['370 Willowbrook', '370 Cloverdale']"
8289,865,Samuel Robertson,['Special']
8290,341,Guildford/Newton Exchange,"['Special', '341 Guildford', '341 Newton Exchange']"
9745,418,Kingswood/22nd St Station,"['418 22nd St Station', '418 Kingswood', '418 To Boundary Rd']"
10232,256,Whitby Estate/Park Royal/Spuraway,"['256 21st To Whitby Estates', '256 Park Royal']"
11201,033,29th Avenue Station/UBC,"['33 16th & 33RD Avenue/To 29th Avenue Station', '33 16th & 33RD Avenue/To UBC Exchange']"
11692,364,Langley Centre/Scottsdale,"['364 64TH Avenue/To Langley Centre', '364 64TH Avenue/To Scottsdale']"
11693,388,22nd St Station/Carvolth Exchange,"['388 Carvolth Exchange', '388 22nd St Station', 'Special']"
11696,609,South Delta Exchange/Ladner Exchange,"['609 Ladner Exchange via Tsawwassen First Nat', '609 South Delta Exchange via Tsawwassen First Nat']"
12940,595,Maple Meadows Station/Langley Centre,"['595 Langley Centre', '595 Ridge Meadows', '595 Maple Meadows Station']"
13684,414,Richmond Oval/Brighouse Station,"['414 Brighouse Station', '414 Richmond Oval']"
16717,209,Upper Lynn Valley/Burrard Station,"['209 Upper Lynn Valley', '209 Burrard Station', '209 Phibbs Exchange']"
16718,014,Hastings/UBC,"['14 Downtown', '14 UBC', '14 Hastings']"
16719,109,New Westminster Station/Lougheed Station,"['109 Lougheed Station', '109 New West Station']"
17707,337,Fraser Heights/Guildford/Surrey Centre,"['337 Fraser Heights', '337 Surrey Central Station', '337 Guildford']"
18213,231,Harbourside/Lonsdale Quay,"['231 Lonsdale Quay', '231 Harbourside']"
18705,531,White Rock Centre/Willowbrook,"['531 White Rock Centre', '531 Willowbrook', '531 Langley Centre']"
20667,555,Carvolth Exchange/Lougheed Station,"['555 Port Mann Exp/To Carvolth Exchange', '555 Port Mann Exp/To Lougheed Station']"
22638,188,Coquitlam Central Station/Port Coquitlam Station,"['188 Port Coquitlam Station', '188 Coquitlam Central Station']"
22639,227,Lynn Valley/Phibbs Exchange,"['227 Lynn Valley', '227 Phibbs Exchange']"
23384,503,Aldergrove/Surrey Central Station,"['503 Fraser Hwy Exp/Aldergrove', '503 Fraser Hwy Exp/Langley Centre', '503 Fraser Hwy Exp/To Langley Sec', '503 Fraser Hwy Exp/Surrey Central Station', '503 Fraser Hwy Exp/To Langley Centre']"
29038,342,Langley Centre/Newton Exchange,"['342 Langley Centre', '342 Newton Exchange']"
29039,864,Lord Tweedsmuir School,['Special']
29040,840,Brookswood School,['Special']
30036,170,Port Coquitlam Station/Port Coquitlam South,"['170 Port Coquitlam Station', '170 Port Coquitlam South', '170 Port Coquitlam South via Reeve']"
30037,171,Coquitlam Central Station/Fremont,"['171 Fremont', '171 Coquitlam Central Station']"
30038,172,Coquitlam Central Station/Riverside,"['172 Riverside', '172 To Ottawa', '172 Coquitlam Central Station']"
30039,173,Coquitlam Central Station/Cedar,"['173 Cedar', '173 Coquitlam Central Station']"
30040,174,Coquitlam Central Station/Rocklin,"['174 Rocklin', '174 Coquitlam Central Station']"
30041,175,Coquitlam Central Station/Meridian,"['175 Meridian', '175 Coquitlam Central Station']"
30043,180,Moody Centre Station/Lougheed Station,"['180 Moody Centre Station', '180 Lougheed Station']"
30044,181,Moody Centre Station/Ioco,"['181 Moody Centre Station', '181 Ioco', '181 Belcarra']"
30045,182,Moody Centre Station/Belcarra,"['182 Moody Centre Station', '182 Belcarra']"
30046,183,Moody Centre Station/Coquitlam Central Station,"['183 Moody Centre Station', '183 Coquitlam Central Station']"
30047,184,Moody Centre Station/Noons Creek,"['184 Moody Centre Station', '184 Noons Creek']"
30048,185,Coquitlam Central Station/Lansdowne,"['185 Coquitlam Central Station', '185 Lansdowne']"
30049,186,Coquitlam Central Station/Hampton Park,"['186 Hampton Park', '186 Coquitlam Central Station']"
30050,187,Coquitlam Central Station/Parkway Blvd,"['187 Coquitlam Central Station', '187 Parkway']"
30051,189,Coquitlam Central Station/Lafarge Park,"['189 Coquitlam Central Station', '189 Lafarge']"
30055,023,Main St Station/English Bay,"['23 Main St Station', '23 English Bay']"
30584,191,Coquitlam Central Station/Princeton,"['191 Princeton', '191 Coquitlam Central Station']"
31816,360,Ocean Park/Peace Arch Hospital,"['360 Peace Arch Hospital', '360 Ocean Park']"
31817,361,Ocean Park/White Rock Centre,"['361 Ocean Park', '361 White Rock Centre']"
31818,362,Seaside/White Rock Centre,"['362 Seaside', '362 White Rock Centre']"
31819,363,Southpoint/Peace Arch Hospital,"['363 Southpoint', '363 Peace Arch Hospital']"
31820,372,Clayton Heights/Langley Centre,"['372 Langley Centre', '372 Clayton Heights']"
31821,733,Rock Ridge/Haney Place/Port Haney Station,"['733 Rock Ridge', '733 Port Haney Station', '733 Haney Place']"
31822,741,Anderson Creek/Haney Place/Port Haney St,"['741 Anderson Creek', '741 Port Haney Station', '741 Haney Place']"
32799,119,Edmonds Station/Metrotown Station,"['119 Kingsway To Edmonds Station', '119 Kingsway To Metrotown Station']"
33292,133,Holdom Station/Edmonds Station,"['133 Edmonds Station', '133 Holdom Station']"
33538,068,UBC Exchange/Wesbrook Village,"['68 Wesbrook Village', '68 UBC Exchange']"
34042,745,Haney Place/Cottonwood,"['745 Cottonwood', '745 Haney Place']"
34043,746,Haney Place/Albion,"['746 Albion via Port Haney Station', '746 Albion', '746 Haney Place via Port Haney Station', '746 Haney Place']"
34044,560,Murrayville/Langley Centre,"['560 Langley Centre', '560 Murrayville']"
34045,561,Langley Centre/Brookswood,"['561 Langley Centre', '561 Brookswood']"
34540,719,Meadowtown/Fraser Way,"['719 Meadowtown', '719 Fraser Way']"
34541,722,Meadowtown/Bonson,"['722 Meadowtown', '722 Bonson']"
34542,406,Richmond Brighouse Station/Steveston,"['406 Railway Ave to Brighouse Station', '406 Railway Ave to Steveston']"
34543,408,Brighouse/Ironwood/Riverport,"['408 Ironwood', '408 Riverport', '408 Brighouse Station']"
34544,282,Mt Gardner/Snug Cove,"['282 Mt Gardner', '282 Snug Cove']"
36799,249,Lonsdale Quay/Delbrook,"['249 Delbrook', '249 Lonsdale Quay']"
37807,R5,Hastings St,"['R5 Hastings St/To SFU Exchange', 'R5 Hastings St/To Kootenay Loop', 'R5 Hastings St/To Burrard Station', 'R5 Hastings St/To Waterfront Station']"
37808,R1,King George Blvd,"['R1 King George Blvd/To Guildford', 'R1 King George Blvd/To Newton Exchange']"
37809,R3,Lougheed Hwy,"['R3 Lougheed Hwy To Coquitlam Central Station', 'R3 Lougheed Hwy To Haney Place']"
37810,R4,41st Ave,"['R4 41ST Avenue/To UBC Exchange', 'R4 41ST Avenue/To Joyce Station']"
38311,R2,Marine Dr,"['R2 Marine Drive/To Phibbs Exchange', 'R2 Marine Drive/To Park Royal']"
39304,031,Metrotown Station/River District,"['31 Metrotown Station', '31 River District']"
39305,222,Metrotown Station/Phibbs Exchange,"['222 Metrotown Station', '222 Phibbs Exchange']"
39307,245,Phibbs/Capilano,"['245 Capilano U', '245 Phibbs Exchange']"
40855,350,White Rock Centre/Crescent Beach,"['350 Crescent Beach', '350 White Rock Centre']"
44845,900,Bike Bus/Bike Bus,"['900 Bike Bus/To Bridgeport Station', '900 Bike Bus/To Tsawwassen. Ferry']"
45596,080,Marine Dr Station/River District,"['80 Marine Dr Exp/To River District', '80 Marine Dr Exp/To Marine Dr Station']"
46099,102,New Westminster Station/Victoria  Hill,"['102 Victoria Hill', '102 New Westminster Station']"
46604,R6,Scott Rd,"['R6 Scott Road/To Scott Rd Station', 'R6 Scott Road/To Newton Exchange']"
