stop_id,stop_code,stop_name,stop_lat,stop_lon
1017,51008.0,Southbound Granville St @ W 45 Ave,49.230342,-123.139857
10171,58878.0,Southbound Noons Creek Dr @ Dogwood Place,49.291372,-122.824052
10172,59101.0,Southbound Heritage Mountain Blvd @ Ravine Dr,49.289083,-122.83355
10174,59573.0,Northbound 124 St @ 58A Ave,49.108911,-122.879043
10175,55509.0,Southbound 128 St @ 60 Ave,49.11234,-122.867983
10176,59571.0,Westbound 60 Ave @ 126 St,49.111851,-122.873913
10178,59572.0,Eastbound 60 Ave @ 126 St,49.111737,-122.872683
10179,59575.0,Southbound 124 St @ 59A Ave,49.110572,-122.879193
1018,59042.0,63 Ave Loop @ Granville St,49.21392,-123.140853
10180,59576.0,Northbound N Boundary Rd @ Eton St,49.287718,-123.023214
10181,58257.0,Eastbound 48 Ave @ Laidlaw St,49.090072,-123.085518
10184,52863.0,Westbound Cameron St @ Morrey Court,49.253498,-122.8967
10188,59590.0,Eastbound 58 Ave @ 176 St,49.107725,-122.734514
10189,59795.0,Westbound 58 Ave @ 176A St,49.107856,-122.733279
1019,51010.0,Westbound W 64 Ave @ Adera St,49.213261,-123.144003
10190,59591.0,Westbound 58 Ave @ 177B St,49.107855,-122.730925
10191,59493.0,Westbound Murray St @ Hugh St,49.278926,-122.848134
10192,59494.0,Eastbound Murray St @ Hugh St,49.278797,-122.847702
10194,58374.0,Northbound Sperling Ave @ Union St,49.278015,-122.964558
10196,59767.0,VCC-Clark Station @ Unloading Only,49.266014,-123.080036
10198,59616.0,Eastbound Mall Access Rd @ Meadowtown Centre,49.220613,-122.672576
10199,59605.0,Southbound 200 St @ 64 Ave,49.118495,-122.668744
1020,51011.0,Northbound Angus Dr @ W 64 Ave,49.21358,-123.148376
10202,59781.0,Westbound Beresford St @ Royal Oak Ave,49.219859,-122.98817
10204,51876.0,Westbound Hastings St @ Springer Ave,49.280441,-122.988354
10205,51875.0,Westbound Hastings St @ Howard Ave,49.28043,-122.984501
10208,59044.0,Southbound Tower Rd @ University High Street,49.277133,-122.909375
10209,59704.0,Eastbound Bridgeport Rd @ Great Canadian Way,49.191931,-123.123173
1021,51012.0,Northbound Angus Dr @ W 61 Ave,49.215648,-123.148305
10210,59697.0,Northbound 240 St @ 112 Ave,49.206124,-122.556596
10211,59695.0,Northbound 240 St @ 11500 Block,49.212037,-122.556692
10212,59698.0,Southbound 240 St @ Kanaka Way,49.205433,-122.556703
10217,59696.0,Southbound 240 St @ 11500 Block,49.211555,-122.556883
10218,59693.0,Northbound 240 St @ 118 Ave,49.21665,-122.55685
1022,51013.0,Northbound West Blvd @ W 60 Ave,49.217447,-123.14921
10221,59721.0,Westbound North Fraser Way @ Glenlyon Parkway West,49.200252,-123.010666
10222,53301.0,Eastbound Lougheed Hwy @ Douglas Rd,49.264976,-122.991151
10228,54784.0,Southbound Tidewater Way @ Kelvin Grove Way,49.452393,-123.237667
10229,59674.0,Northbound Antrim Ave @ Victory St,49.21882,-122.984964
1023,51014.0,Northbound West Blvd @ W 57 Ave,49.219817,-123.150612
10231,59675.0,Southbound Patterson Ave @ Imperial St,49.221627,-123.012703
10232,59677.0,Southbound Patterson Ave @ Victory St,49.218127,-123.012508
10233,59679.0,Southbound Patterson Ave @ Rumble St,49.214602,-123.012488
10235,59678.0,Northbound Patterson Ave @ Rumble St,49.215171,-123.0123
10239,59690.0,Northbound Gilley Ave @ Keith St,49.20769,-122.97389
1024,51015.0,Northbound West Blvd @ W 54 Ave,49.221951,-123.151884
10240,59689.0,Northbound Gilley Ave @ Brynlor Dr,49.209028,-122.972921
