route_id,trip_id,trip_headsign,service_id
6612,13997675,2 Macdonald/To Dunbar Loop,1
6612,13997676,2 Macdonald/To 16th Avenue,1
6612,13997677,2 Macdonald/To Dunbar Loop,1
6612,13997678,2 Macdonald/To 16th Avenue,1
6612,13997679,2 Macdonald/To Dunbar Loop,1
6612,13997680,2 Macdonald/To 16th Avenue,1
6612,13997681,2 Macdonald/To Dunbar Loop,1
6612,13997682,2 Macdonald/To 16th Avenue,1
6612,13997683,2 Macdonald/To Dunbar Loop,1
6612,13997684,2 Macdonald/To 16th Avenue,1
6612,13997685,2 Macdonald/To Dunbar Loop,1
6612,13997686,2 Macdonald/To 16th Avenue,1
6612,13997687,2 Macdonald/To Dunbar Loop,1
6612,13997688,2 Macdonald/To 16th Avenue,1
6612,13997689,2 Macdonald/To Dunbar Loop,1
6612,13997690,2 Macdonald/To 16th Avenue,1
6612,13997691,2 Macdonald/To Dunbar Loop,1
6612,13997692,2 Macdonald/To 16th Avenue,1
6612,13997693,2 Macdonald/To Dunbar Loop,1
6612,13997694,2 Macdonald/To 16th Avenue,1
6612,13997695,2 Macdonald/To Dunbar Loop,1
6612,13997696,2 Macdonald/To 16th Avenue,1
6612,13997697,2 Macdonald/To Dunbar Loop,1
6612,13997698,2 Macdonald/To 16th Avenue,1
6612,13997699,2 Macdonald/To Dunbar Loop,1
6612,13997700,2 Macdonald/To 16th Avenue,1
6612,13997701,2 Macdonald/To Dunbar Loop,1
6612,13997702,2 Macdonald/To 16th Avenue,1
6612,13997703,2 Macdonald/To Dunbar Loop,1
6612,13997704,2 Macdonald/To 16th Avenue,1
6612,13997705,2 Macdonald/To Dunbar Loop,1
6612,13997706,2 Macdonald/To 16th Avenue,1
6612,13997707,2 Macdonald/To Dunbar Loop,1
6612,13997708,2 Macdonald/To 16th Avenue,1
6612,13997709,2 Macdonald/To Dunbar Loop,1
6612,13997710,2 Macdonald/To 16th Avenue,1
6612,13997711,2 Macdonald/To Dunbar Loop,1
6612,13997712,2 Macdonald/To Dunbar Loop,1
6612,13997713,2 Macdonald/To Dunbar Loop,1
6612,13997714,2 Macdonald/To 16th Avenue,1
6612,13997715,2 Macdonald/To Dunbar Loop,1
6612,13997716,2 Macdonald/To 16th Avenue,1
6612,13997717,2 Macdonald/To Dunbar Loop,1
6612,13997718,2 Macdonald/To Dunbar Loop,1
6612,13997719,2 Macdonald/To 16th Avenue,1
6612,13997720,2 Macdonald/To Dunbar Loop,1
6612,13997721,2 Macdonald/To Dunbar Loop,1
6612,13997722,2 Macdonald/To Dunbar Loop,1
6612,13997723,2 Macdonald/To 16th Avenue,1
6612,13997724,2 Macdonald/To Dunbar Loop,1
6612,13997725,2 Macdonald/To Dunbar Loop,1
6612,13997726,2 Macdonald/To Dunbar Loop,1
6612,13997727,2 Macdonald/To Dunbar Loop,1
6612,13997728,2 Macdonald/To Dunbar Loop,1
6612,13997729,2 Macdonald/To Dunbar Loop,1
6612,13997730,2 Macdonald/To Dunbar Loop,1
6612,13997731,2 Macdonald/To Dunbar Loop,1
6612,13997732,2 Macdonald/To Dunbar Loop,1
6612,13997733,2 Macdonald/To Dunbar Loop,1
6612,13997734,2 Macdonald/To Dunbar Loop,1
6612,13997735,2 Macdonald/To Dunbar Loop,1
6612,13997736,2 Macdonald/To Dunbar Loop,1
6612,13997737,2 Macdonald/To Dunbar Loop,1
6612,13997738,2 Macdonald/To Dunbar Loop,1
6612,13997739,2 Macdonald/To Dunbar Loop,1
6612,13997740,2 Macdonald/To Dunbar Loop,1
6612,13997741,2 Macdonald/To Dunbar Loop,1
6612,13997742,2 Macdonald/To Dunbar Loop,1
6612,13997743,2 Macdonald/To Dunbar Loop,1
6612,13997744,2 Macdonald/To Dunbar Loop,1
6612,13997745,2 Macdonald/To Dunbar Loop,1
6612,13997746,2 Macdonald/To Dunbar Loop,1
6612,13997747,2 Macdonald/To Dunbar Loop,1
6612,13997748,2 Macdonald/To Dunbar Loop,1
6612,13997749,2 Macdonald/To Dunbar Loop,1
6612,13997750,2 Macdonald/To Dunbar Loop,1
6612,13997751,2 Macdonald/To Dunbar Loop,1
6612,13997752,2 Macdonald/To Dunbar Loop,1
6612,13997753,2 Macdonald/To Dunbar Loop,1
6612,13997754,2 Macdonald/To Dunbar Loop,1
6612,13997760,2 Macdonald/To Burrard Station,2
6612,13997761,2 Macdonald/To Burrard Station,2
6612,13997762,2 Macdonald/To Burrard Station,2
6612,13997763,2 Macdonald/To Burrard Station,2
6612,13997764,2 Macdonald/To Burrard Station,2
6612,13997765,2 Macdonald/To Burrard Station,2
6612,13997766,2 Macdonald/To Burrard Station,2
6612,13997767,2 Macdonald/To Burrard Station,2
6612,13997768,2 Macdonald/To Burrard Station,2
6612,13997769,2 Macdonald/To Burrard Station,2
6612,13997770,2 Macdonald/To Burrard Station,2
6612,13997771,2 Macdonald/To Burrard Station,2
6612,13997772,2 Macdonald/To Burrard Station,2
6612,13997773,2 Macdonald/To Burrard Station,2
6612,13997774,2 Macdonald/To Burrard Station,2
6612,13997775,2 Macdonald/To Burrard Station,2
6612,13997776,2 Macdonald/To Burrard Station,2
6612,13997777,2 Macdonald/To Burrard Station,2
6612,13997778,2 Macdonald/To Burrard Station,2
6612,13997779,2 Macdonald/To Burrard Station,2
6612,13997780,2 Macdonald/To Burrard Station,2
6612,13997781,2 Macdonald/To Burrard Station,2
6612,13997782,2 Macdonald/To Burrard Station,2
6612,13997783,2 Macdonald/To Burrard Station,2
6612,13997784,2 Macdonald/To Burrard Station,2
6612,13997785,2 Macdonald/To Burrard Station,2
6612,13997786,2 Macdonald/To Burrard Station,2
6612,13997787,2 Macdonald/To Burrard Station,2
6612,13997788,2 Macdonald/To Burrard Station,2
6612,13997789,2 Macdonald/To Burrard Station,2
6612,13997790,2 Macdonald/To Burrard Station,2
6612,13997791,2 Macdonald/To Burrard Station,2
6612,13997792,2 Macdonald/To Burrard Station,2
6612,13997793,2 Macdonald/To Burrard Station,2
6612,13997794,2 Macdonald/To Burrard Station,2
6612,13997795,2 Macdonald/To Burrard Station,2
6612,13997796,2 Macdonald/To Burrard Station,2
6612,13997797,2 Macdonald/To Burrard Station,2
6612,13997798,2 Macdonald/To Burrard Station,2
6612,13997799,2 Macdonald/To Burrard Station,2
6612,13997800,2 Macdonald/To Burrard Station,2
6612,13997801,2 Macdonald/To Burrard Station,2
6612,13997802,2 Macdonald/To Burrard Station,2
6612,13997803,2 Macdonald/To Burrard Station,2
6612,13997804,2 Macdonald/To Burrard Station,2
6612,13997805,2 Macdonald/To Burrard Station,2
6612,13997806,2 Macdonald/To Burrard Station,2
6612,13997807,2 Macdonald/To Burrard Station,2
6612,13997808,2 Macdonald/To Burrard Station,2
6612,13997809,2 Macdonald/To Burrard Station,2
6612,13997810,2 Macdonald/To Burrard Station,2
6612,13997811,2 Macdonald/To Burrard Station,2
6612,13997812,2 Macdonald/To Burrard Station,2
6612,13997813,2 Macdonald/To Burrard Station,2
6612,13997814,2 Macdonald/To Burrard Station,2
6612,13997815,2 Macdonald/To Burrard Station,2
6612,13997816,2 Macdonald/To Burrard Station,2
6612,13997817,2 Macdonald/To Burrard Station,2
6612,13997818,2 Macdonald/To Burrard Station,2
6612,13997819,2 Macdonald/To Burrard Station,2
6612,13997820,2 Macdonald/To Burrard Station,2
6612,13997821,2 Macdonald/To Burrard Station,2
6612,13997822,2 Macdonald/To Burrard Station,2
6612,13997823,2 Macdonald/To Burrard Station,2
6612,13997824,2 Macdonald/To Burrard Station,2
6612,13997825,2 Macdonald/To Burrard Station,2
6612,13997826,2 Macdonald/To Burrard Station,2
6612,13997827,2 Macdonald/To Burrard Station,2
6612,13997828,2 Macdonald/To Burrard Station,2
6612,13997829,2 Macdonald/To Burrard Station,2
6612,13997830,2 Macdonald/To Burrard Station,2
6612,13997831,2 Macdonald/To Burrard Station,2
6612,13997832,2 Macdonald/To Burrard Station,2
6612,13997833,2 Macdonald/To Burrard Station,2
6612,13997834,2 Macdonald/To Burrard Station,2
6612,13997835,2 Macdonald/To Burrard Station,2
6612,13997836,2 Macdonald/To Burrard Station,2
6612,13997837,2 Macdonald/To Burrard Station,2
6612,13997838,2 Macdonald/To Burrard Station,2
6612,13997839,2 Macdonald/To Burrard Station,2
6612,13997840,2 Macdonald/To Burrard Station,2
6612,13997841,2 Macdonald/To Burrard Station,2
6612,13997842,2 Macdonald/To Burrard Station,2
6612,13997843,2 Macdonald/To Burrard Station,2
6612,13997844,2 Macdonald/To Burrard Station,2
6612,13997845,2 Macdonald/To Burrard Station,2
6612,13997846,2 Macdonald/To Burrard Station,2
6612,13997847,2 Macdonald/To Burrard Station,2
6612,13997848,2 Macdonald/To Burrard Station,2
6612,13997849,2 Macdonald/To Burrard Station,2
6612,13997850,2 Macdonald/To Burrard Station,2
6612,13997851,2 Macdonald/To Burrard Station,2
6612,13997852,2 Macdonald/To Burrard Station,2
6612,13997859,2 Macdonald/To Dunbar Loop,2
6612,13997860,2 Macdonald/To Dunbar Loop,2
6612,13997861,2 Macdonald/To Dunbar Loop,2
6612,13997862,2 Macdonald/To Dunbar Loop,2
6612,13997863,2 Macdonald/To Dunbar Loop,2
6612,13997864,2 Macdonald/To Dunbar Loop,2
6612,13997865,2 Macdonald/To Dunbar Loop,2
6612,13997866,2 Macdonald/To Dunbar Loop,2
6612,13997867,2 Macdonald/To Dunbar Loop,2
6612,13997868,2 Macdonald/To 16th Avenue,2
6612,13997869,2 Macdonald/To Dunbar Loop,2
6612,13997870,2 Macdonald/To 16th Avenue,2
6612,13997871,2 Macdonald/To Dunbar Loop,2
6612,13997872,2 Macdonald/To 16th Avenue,2
6612,13997873,2 Macdonald/To Dunbar Loop,2
6612,13997874,2 Macdonald/To 16th Avenue,2
6612,13997875,2 Macdonald/To Dunbar Loop,2
6612,13997876,2 Macdonald/To 16th Avenue,2
6612,13997877,2 Macdonald/To Dunbar Loop,2
6612,13997878,2 Macdonald/To 16th Avenue,2
6612,13997879,2 Macdonald/To Dunbar Loop,2
6612,13997880,2 Macdonald/To 16th Avenue,2
6612,13997881,2 Macdonald/To Dunbar Loop,2
6612,13997882,2 Macdonald/To 16th Avenue,2
6612,13997883,2 Macdonald/To Dunbar Loop,2
6612,13997884,2 Macdonald/To 16th Avenue,2
6612,13997885,2 Macdonald/To Dunbar Loop,2
6612,13997886,2 Macdonald/To 16th Avenue,2
6612,13997887,2 Macdonald/To Dunbar Loop,2
6612,13997888,2 Macdonald/To 16th Avenue,2
6612,13997889,2 Macdonald/To Dunbar Loop,2
6612,13997890,2 Macdonald/To 16th Avenue,2
6612,13997891,2 Macdonald/To Dunbar Loop,2
6612,13997892,2 Macdonald/To 16th Avenue,2
6612,13997893,2 Macdonald/To Dunbar Loop,2
