trip_id,route_id,service_id,trip_headsign
13997675,6612,1,2 Macdonald/To Dunbar Loop
13997676,6612,1,2 Macdonald/To 16th Avenue
13997677,6612,1,2 Macdonald/To Dunbar Loop
13997678,6612,1,2 Macdonald/To 16th Avenue
13997679,6612,1,2 Macdonald/To Dunbar Loop
13997680,6612,1,2 Macdonald/To 16th Avenue
13997681,6612,1,2 Macdonald/To Dunbar Loop
13997682,6612,1,2 Macdonald/To 16th Avenue
13997683,6612,1,2 Macdonald/To Dunbar Loop
13997684,6612,1,2 Macdonald/To 16th Avenue
13997685,6612,1,2 Macdonald/To Dunbar Loop
13997686,6612,1,2 Macdonald/To 16th Avenue
13997687,6612,1,2 Macdonald/To Dunbar Loop
13997688,6612,1,2 Macdonald/To 16th Avenue
13997689,6612,1,2 Macdonald/To Dunbar Loop
13997690,6612,1,2 Macdonald/To 16th Avenue
13997691,6612,1,2 Macdonald/To Dunbar Loop
13997692,6612,1,2 Macdonald/To 16th Avenue
13997693,6612,1,2 Macdonald/To Dunbar Loop
13997694,6612,1,2 Macdonald/To 16th Avenue
13997695,6612,1,2 Macdonald/To Dunbar Loop
13997696,6612,1,2 Macdonald/To 16th Avenue
13997697,6612,1,2 Macdonald/To Dunbar Loop
13997698,6612,1,2 Macdonald/To 16th Avenue
13997699,6612,1,2 Macdonald/To Dunbar Loop
13997700,6612,1,2 Macdonald/To 16th Avenue
13997701,6612,1,2 Macdonald/To Dunbar Loop
13997702,6612,1,2 Macdonald/To 16th Avenue
13997703,6612,1,2 Macdonald/To Dunbar Loop
13997704,6612,1,2 Macdonald/To 16th Avenue
13997705,6612,1,2 Macdonald/To Dunbar Loop
13997706,6612,1,2 Macdonald/To 16th Avenue
13997707,6612,1,2 Macdonald/To Dunbar Loop
13997708,6612,1,2 Macdonald/To 16th Avenue
13997709,6612,1,2 Macdonald/To Dunbar Loop
13997710,6612,1,2 Macdonald/To 16th Avenue
13997711,6612,1,2 Macdonald/To Dunbar Loop
13997712,6612,1,2 Macdonald/To Dunbar Loop
13997713,6612,1,2 Macdonald/To Dunbar Loop
13997714,6612,1,2 Macdonald/To 16th Avenue
13997715,6612,1,2 Macdonald/To Dunbar Loop
13997716,6612,1,2 Macdonald/To 16th Avenue
13997717,6612,1,2 Macdonald/To Dunbar Loop
13997718,6612,1,2 Macdonald/To Dunbar Loop
13997719,6612,1,2 Macdonald/To 16th Avenue
13997720,6612,1,2 Macdonald/To Dunbar Loop
13997721,6612,1,2 Macdonald/To Dunbar Loop
13997722,6612,1,2 Macdonald/To Dunbar Loop
13997723,6612,1,2 Macdonald/To 16th Avenue
13997724,6612,1,2 Macdonald/To Dunbar Loop
13997725,6612,1,2 Macdonald/To Dunbar Loop
13997726,6612,1,2 Macdonald/To Dunbar Loop
13997727,6612,1,2 Macdonald/To Dunbar Loop
13997728,6612,1,2 Macdonald/To Dunbar Loop
13997729,6612,1,2 Macdonald/To Dunbar Loop
13997730,6612,1,2 Macdonald/To Dunbar Loop
13997731,6612,1,2 Macdonald/To Dunbar Loop
13997732,6612,1,2 Macdonald/To Dunbar Loop
13997733,6612,1,2 Macdonald/To Dunbar Loop
13997734,6612,1,2 Macdonald/To Dunbar Loop
